"","labcode","depth","bp","std","afbd"
"1834","OS-96899   ",30.5,1260,50,0.0868291
"1835","OS-96900   ",40.5,6640,100,0.101498081
"1836","OS-96901   ",50.5,1410,80,0.066803077
"1837","OS-96902   ",60.5,1630,60,0.050242563
"1838","OS-96903   ",70.5,1520,60,0.053874533
"1839","OS-96904   ",80.5,9120,120,0.057240421
"1840","OS-96905   ",90.5,1620,50,0.060631195
"1841","OS-97068   ",10.5,160,40,0.043335289
"1842","OS-97069   ",100.5,1660,70,0.066595291
"1843","OS-97070   ",113.5,9080,130,0.1021592
"1844","OS-98098   ",100,2630,50,0.043189553
"1845","OS-98100   ",165,9540,110,0.04066816
"1846","OS-98101   ",195,10850,160,0.05738512
"1847","OS-98970   ",20.5,895,60,0.0692324
"1848","OS-98971   ",33.5,810,50,0.060870797
"1849","OS-98972   ",43.5,4510,70,0.12188185
"1850","OS-98973   ",53.5,1580,70,0.076517055
"1851","OS-98974   ",63.5,7230,130,0.07815795
"1852","OS-98975   ",63.5,2000,80,0.07815795
"1853","OS-98976   ",73.5,1530,80,0.077115805
"1854","OS-99252   ",113.5,8310,100,0.1021592
"1855","OS-99253   ",90.5,1620,50,0.060631195
"1856","OS-99254   ",100.5,2770,50,0.066595291
"1857","UCIAMS-119403",148.5,9535,40,0.01182896
"1858","UCIAMS-124454",136.5,4145,40,0.04109586
"1859","UCIAMS-124455",145.5,9555,50,0.03142984
"1860","UCIAMS-124456",150.5,9555,70,0.040208688
"1861","UCIAMS-124457",159.5,4710,50,0.033319867
"1862","UCIAMS-124458",160.5,9260,100,0.0277394
"1863","UCIAMS-124459",180.5,11760,480,0.0430144
"1864","BETA-97511",122.5,8360,140,0.047908667
"1865","BETA-97510",189.5,8530,140,0.045919
"1866","BETA-97509",229.5,8870,120,0.040341667
"1867","BETA-122124",245.5,9020,100,0.051339667
"1868","BETA-97508",252.5,9570,120,0.051747
"1869","BETA-121105",280.5,10240,100,0.051277
"1870","BETA-120539",280.5,10270,100,0.051277
"1871","BETA-111033",280.5,10350,80,0.051277
"1872","BETA-125086",280.5,10380,80,0.051277
"1873","BETA-97507",284.5,10720,140,0.041657667
"1874","BETA-122123",285.5,10400,100,0.041657667
"1875","BETA-120536",286.5,10300,80,0.045151333
"1876","BETA-123317",287.5,10280,100,0.045151333
"1877","BETA-121106",288.5,10950,100,0.043396667
"1878","BETA-97506",307.5,12320,120,0.046749333
"1879","BETA-122125",308.5,12450,120,0.046749333
"4213","105034",8.75,2390,20,0.0446829150010697
"7810","OS-83516",16,730,20,0.0446829150010697
"8610","97981",19,115,15,0.0446829150010697
"9710","OS-83581",20,2030,40,0.0446829150010697
"10310","UCIAMS-76266",21,45,20,0.0446829150010697
"10410","OS-83510",21,680,20,0.0446829150010697
"10510","OS-83519",21,585,20,0.0446829150010697
"11110","OS-83514",22,290,30,0.0446829150010697
"123","UCIAMS-94433",23.5,80,15,0.049355375964
"1423","UCIAMS-94508",25.9,150,25,0.0618030774
"17712","UCIT21043",30.5,80,15,0.039087
"18212","UCIT21045",31,90,20,0.017748
"1942","UCIAMS-94434",33.5,85,15,0.060777218814
"1963","OS-83652",34,890,25,0.0446829150010697
"2043","OS-83518",35,235,20,0.0446829150010697
"2143","94505",36,1665,20,0.0446829150010697
"215","UCIAMS-76267",36,200,20,0.0446829150010697
"2233","UCIAMS-46999",37.6,110,15,0.0482291982
"2383","UNKNOWN-11",40,145,40,0.0446829150010697
"2653","UNKNOWN-12",44.5,1760,80,0.0446829150010697
"2715","OS-83578",45,3230,30,0.0446829150010697
"2743","UCIT21019",45,140,15,0.025266
"2972","OS-83576",49,2560,40,0.0446829150010697
"3033","UCIAMS-94509",49.9,270,20,0.0734116266
"3163","OS-83573",52,1160,30,0.0446829150010697
"3263","OS-83508",54,2110,20,0.0446829150010697
"3415","LLNL",56,280,70,0.0446829150010697
"3463","OS-83509",57,1590,20,0.0446829150010697
"3515","UCIAMS-69771",58,440,15,0.0446829150010697
"3523","OS-83574",58,1130,30,0.0446829150010697
"3614","UCIAMS-76268",59,435,20,0.0446829150010697
"3815","UCIAMS-47000",62.8,905,15,0.1180246176
"3843","OS-83517",64,2500,20,0.0446829150010697
"4091","UCIAMS-76269",67,610,20,0.0446829150010697
"415","OS-83580",67.5,5790,35,0.0446829150010697
"4222","UCIAMS-69772",69,100,20,0.0446829150010697
"4363","UCIAMS-42053",70.5,1520,20,0.03852090474
"4443","UCIAMS-69773",72,335,15,0.0446829150010697
"4573","88666",74,3315,15,0.0446829150010697
"4642","UCIAMS-94510",75.4,1220,25,0.06207647664
"4843","UNKNOWN-16",79.5,3810,100,0.0446829150010697
"4863","UCIAMS-89807",79.5,2205,25,0.0594665184
"5091","UCIAMS-47001",84.5,1310,15,0.04176719316
"5121","88667",85,3995,15,0.0446829150010697
"5131","UCIAMS-69775",85,1880,15,0.0446829150010697
"5171","UCIAMS-69774",86,1750,15,0.0446829150010697
"5392","UCIT21033R",91,295,20,0.009064
"5492","UCIAMS-94511",93.4,2490,20,0.05913721644
"5622","UCIAMS-89808",95.5,2850,15,0.0588266943
"5721","UCIT21020",97.5,895,15,0.050864
"5901","UCIAMS-42054",100.5,4390,80,0.0377911122
"623","UCIAMS-47002",106.7,3585,15,0.07477687584
"625","UCIAMS-85701",107.5,2590,15,0.0446829150010697
"688","97983",123,4830,70,0.0446829150010697
"695","UCIAMS-42055",124.5,5055,20,0.0357930267
"7101","UCIAMS-47003",129,4185,15,0.07165287462
"727","UNKNOWN-23",133,3400,30,0.0446829150010697
"733","UNKNOWN-24",134.5,4430,110,0.0446829150010697
"7411","89819",137,5680,20,0.0446829150010697
"773","UCIAMS-89809",145.5,4135,20,0.0446829150010697
"797","UCIAMS-47004",152.4,4655,15,0.0786612414
"8011","UNKNOWN-25",153,1495,25,0.0446829150010697
"822","UCIAMS-42056",160.5,7060,70,0.039634155
"825","UCIAMS-82703",161.5,4760,15,0.0446829150010697
"837","UNKNOWN-26",164,1780,35,0.0446829150010697
"848","94503",169,9125,40,0.0446829150010697
"859","UCIAMS-47005",174.9,5565,20,0.06906781056
"893","UNKNOWN-29",184.5,4790,100,0.0446829150010697
"900","UCIAMS-81702",187.5,6045,20,0.0446829150010697
"9111","UCIAMS-42057",190.5,4810,20,0.03110986368
"918","UCIT21021",194.5,4230,15,0.04629
"9211","UCIT21035",195,915,15,0.009308
"930","UCIAMS-47006",197.4,7770,25,0.0756783072
"946","UCIAMS-81450",203.5,6605,20,0.0446829150010697
"965","UCIAMS-89811",211.5,6780,20,0.0446829150010697
"974","UCIAMS-82700",215.5,9980,20,0.0446829150010697
"980","UCIAMS-47007",219.9,8700,20,0.06119295162
"983","UCIAMS-42058",220.5,8365,30,0.0304953705
"1004","UCIAMS-82701",234.5,11360,50,0.0446829150010697
"1017","UCIAMS-81449",243.5,11885,35,0.0446829150010697
"10221","UCIAMS-47008",245,9325,20,0.06520440852
"1033","UCIAMS-42059",250.5,8550,20,0.0327380304
"1036","94506",252,11120,35,0.0446829150010697
"1047","85704",258,11690,35,0.0446829150010697
"10521","UCIAMS-47009",261.1,9920,25,0.07284997896
"1064","UCIAMS-42060",274.5,8500,140,0.0316112412
"1073","UCIAMS-47010",285.4,9990,20,0.07496816796
"1079","UCIT21036",287.5,1215,15,0.0344989
"1094","UCIT21022",301,9745,20,0.051688
"1099","UCIAMS-42061",310.5,9245,25,0.03174925104
"1118","UCIAMS-42062",340.5,9510,25,0.04075570332
"1130","UCIT21023",355.5,7100,15,0.09616
"1139","UCIAMS-42063",375.5,10030,40,0.0480020934
"1159","CAMS-136980",443,11780,60,0.0446829150010697
"1160","CAMS-136983",445,11805,40,0.0446829150010697
"11611","UCIT21025",445,5950,15,0.013676
